Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),LOWER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),UPPER_ZONE:Zone Total Internal Total Heat Gain [J](Hourly),LOWER_ZONE:Zone People Number Of Occupants [](Hourly),LOWER_ZONE:Zone People Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Lights Electric Consumption [J](Hourly),LOWER_ZONE:Zone Lights Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Electric Equipment Electric Consumption [J](Hourly),LOWER_ZONE:Zone Electric Equipment Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Transmitted Solar Energy[J](Hourly),UPPER_ZONE:Zone Transmitted Solar Energy[J](Hourly),LOWER_ZONE:Zone Mean Air Temperature [C](Hourly),LOWER_ZONE:Zone Operative Temperature [C](Hourly),LOWER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),UPPER_ZONE:Zone Mean Air Temperature [C](Hourly),UPPER_ZONE:Zone Operative Temperature [C](Hourly),UPPER_ZONE:Zone Air Balance Surface Convection Rate [W](Hourly),LOWER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),UPPER_ZONE:Zone Infiltration Air Change Rate [ach](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Loss [J](Hourly),LOWER_ZONE:Zone Ventilation Total Heat Gain [J](Hourly),LOWER_ZONE:Zone Ventilation Air Change Rate [ach](Hourly),LOWER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),LOWER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Heating Energy [J](Hourly),UPPER_ZONE:Zone/Sys Sensible Cooling Energy [J](Hourly),PV_SURFACE:PV Generator DC Energy [J](Hourly),WT1:Wind Turbine Electric Energy Produced [J](Hourly),WT2:Wind Turbine Electric Energy Produced [J](Hourly) 
 10/15  13:00:00,16.625,3.4125,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1961442.246,4852695.087,24,23.62518977,-225.0334356,22.38150188,22.79626317,211.5255752,0.512850768,0.510160747,1659524.18,0,0.769250027,0,3374968.11,0,0,2722847.101,0,0
 10/15  14:00:00,18.25,3.9125,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1816899.015,5218086.537,23.75708075,23.65181905,-90.56971557,23.55095516,23.75192195,132.7830449,0.509615906,0.509362495,1365104.148,0,1.527840726,0,3647352.852,0,0,2456148.269,0,0
 10/15  15:00:00,18.375,4.4125,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,2592867.567,3699705.964,23.99999998,23.90149129,-80.8946237,23.49582531,23.6602557,78.86429265,0.509583398,0.508846457,1208297.111,0,0.764349138,0,4417321.597,0,0,1952753.59,11732019.79,0
 10/15  16:00:00,17.375,5.2875,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,3571489.289,3155042.454,24,24.04255258,-18.0793502,23.27428763,23.50272048,94.86195333,0.511332303,0.51019647,1406508.913,0,0.766972406,0,4348135.706,0,0,1168203.16,20403128.61,20250000
 10/15  17:00:00,16.375,5.0125,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,1860581.863,1518997.024,23.70290467,23.64904404,-71.42600792,22.49715898,22.73962167,73.51741471,0.512823014,0.510824102,1680070.541,0,1.534301778,0,3043867.913,0,0,358094.7507,17455929.42,13500000
 10/15  18:00:00,15.375,3.6625,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,139666.3797,174072.5428,23.99999999,23.5209132,-292.2221934,21.67530448,21.94397228,74.81317675,0.514942537,0.51101666,1788794.161,0,0.772387573,0,2750298.412,0,0,24080.46797,2590176.552,0
 10/15  19:00:00,14.375,3.4125,7425252.693,0,5.624977137,2024991.769,2700263.536,2700263.536,2699997.387,2699997.387,0,0,23.69308537,23.28175037,-282.9940512,21.13351023,21.47718564,109.982079,0.516257675,0.511902704,2102489.209,0,1.629545808,603706.6182,1756450.7,0,0,0,0,0
 10/15  20:00:00,13.375,2.2875,0,0,0,0,0,0,0,0,0,0,21.66293792,21.92135529,106.54438,20.67735759,21.02195032,109.2084706,0.514732605,0.513071421,0,0,0,0,0,0,0,0,0,0
 10/15  21:00:00,12.375,0.5625,0,0,0,0,0,0,0,0,0,0,20.68604126,21.13216598,243.4577078,20.17152754,20.56181284,128.690453,0.514526773,0.513680147,0,0,0,0,0,0,0,0,0,0
 10/15  22:00:00,10.125,0,0,0,0,0,0,0,0,0,0,0,20.11134062,20.62250293,286.3739552,19.61512685,20.06163097,150.0167937,0.517474617,0.516641851,0,0,0,0,0,0,0,0,0,0
