Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZN_1_FLR_1_SEC_4:Zone People Number Of Occupants [](Hourly),ZN_1_FLR_1_SEC_4:Zone Lights Electric Power [W](Hourly),ZN_1_FLR_1_SEC_4:Zone Electric Equipment Electric Consumption [J](Hourly),80224C:Window Transmitted Solar Energy[J](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Radiant Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Mean Air Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Operative Temperature [C](Hourly),ZN_1_FLR_1_SEC_4:Zone Infiltration Air Change Rate [ach](Hourly),ZN_1_FLR_1_SEC_4:Zone Ventilation Air Change Rate [ach](Hourly) 
 07/03  01:00:00,18.,0.0,57.6339651272034,605156.633835636,0.0,22.9742698790273,19.6600306074774,21.3171502432523,0.502856280242688,10.0571256048538 
 07/03  02:00:00,17.375,0.0,57.6339651272034,605156.633835636,0.0,22.356922181509,19.0264462986248,20.6916842400669,0.502844211481651,10.056884229633 
 07/03  03:00:00,17.,0.0,57.6339651272034,605156.633835636,0.0,21.673964289569,18.5494802347432,20.1117222621561,0.502675448573325,10.0535089714665 
 07/03  04:00:00,16.375,0.0,57.6339651272034,605156.633835636,0.0,21.0568801387481,18.0392299002065,19.5480550194773,0.502993694048429,9.21799860319355 
 07/03  05:00:00,16.625,0.0,57.6339651272034,605156.633835636,123645.824483836,20.5706878807712,18.1084984062195,19.3395931434953,0.502886204886797,8.37600503241391 
 07/03  06:00:00,17.625,0.0,57.6339651272034,605156.633835636,1609820.6485644,20.4926324839452,18.5123542422916,19.5024933631184,0.501529754515156,10.0305950903031 
 07/03  07:00:00,18.625,0.640377402435303,345.80379076322,605156.633835636,3915085.08662167,20.9494180621169,19.3508010850851,20.150109573601,0.25062424393503,10.0249697574012 
 07/03  08:00:00,20.875,9.60566103652954,979.777407162458,1642568.0061253,5675441.19115191,22.1022374445003,21.506315005099,21.8042762247996,0.25076155590889,12.5159626645292 
 07/03  09:00:00,23.25,11.5267932438355,1095.04533741686,1642568.0061253,7856964.68874874,23.5779151862754,23.6051890727898,23.5915521295326,0.250532594842997,18.5191171708187 
 07/03  10:00:00,24.625,11.5267932438355,1095.04533741686,1642568.0061253,11831982.3852905,25.0707761489315,25.0042698511492,25.0375230000404,0.25031389621926,18.5029511887411 
