Date/Time,SomeCategory:Some subcategory [x](Hourly),SomeCategory:Some other subcategory,SomeOtherCategory:yet another subcategory [x](Hourly)
 01/24  01:00:00,6.0125,2.475,0
 01/24  02:00:00,4.5375,2.1,0
 01/24  03:00:00,3.525,2.1,0
 01/24  04:00:00,2.9875,2.1,0
 01/24  05:00:00,3.4875,0.7875,0
 01/24  06:00:00,2.8375,1.625,0
 01/24  07:00:00,2.8875,0.975,0.74322432
 01/24  08:00:00,3.675,0,1.48644864
 01/24  09:00:00,5.275,1.9375,7.06063104
 01/24  10:00:00,6.7875,3.725,7.06063104
 01/24  11:00:00,7.575,3.475,7.06063104
 01/24  12:00:00,7.8,2.7875,7.06063104
 01/24  13:00:00,8.4875,0.975,3.7161216
 01/24  14:00:00,9.2125,0.9375,7.06063104
 01/24  15:00:00,10.4625,1.5,7.06063104
 01/24  16:00:00,10.4125,5.0625,7.06063104
 01/24  17:00:00,9.625,7.2,7.06063104
 01/24  18:00:00,8.7125,6.2625,5.20257024
 01/24  19:00:00,8.3,5.3875,2.97289728
